id,sura_id,index,text,juz,page
13,2,6,خَتَمَ اَ۬للَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْۖ وَعَلَىٰٓ أَبْصٰ۪رِهِمْ غِشَٰوَةٞۖ وَلَهُمْ عَذَابٌ عَظِيمٞۖ,1,3
14,2,7,وَمِنَ اَ۬لنَّاسِ مَنْ يَّقُولُ ءَامَنَّا بِاللَّهِ وَبِالْيَوْمِ اِ۬لَاخِرِ وَمَا هُم بِمُومِنِينَۖ,1,3
15,2,8,يُخَٰدِعُونَ اَ۬للَّهَ وَالذِينَ ءَامَنُواْۖ وَمَا يُخَٰدِعُونَ إِلَّآ أَنفُسَهُمْ وَمَا يَشْعُرُونَۖ,1,3
16,2,9,فِے قُلُوبِهِم مَّرَضٞۖ فَزَادَهُمُ اُ۬للَّهُ مَرَضاٗۖ وَلَهُمْ عَذَابٌ اَلِيمُۢ بِمَا كَانُواْ يُكَذِّبُونَۖ,1,3
17,2,10,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُواْ فِے اِ۬لَارْضِ قَالُوٓاْ إِنَّمَا نَحْنُ مُصْلِحُونَۖ,1,3
18,2,11,أَلَآ إِنَّهُمْ هُمُ اُ۬لْمُفْسِدُونَ وَلَٰكِن لَّا يَشْعُرُونَۖ,1,3
19,2,12,وَإِذَا قِيلَ لَهُمُۥٓ ءَامِنُواْ كَمَآ ءَامَنَ اَ۬لنَّاسُ قَالُوٓاْ أَنُومِنُ كَمَآ ءَامَنَ اَ۬لسُّفَهَآءُۖ اَ۬لَآ إِنَّهُمْ هُمُ اُ۬لسُّفَهَآءُ وَلَٰكِن لَّا يَعْلَمُونَۖ,1,3
20,2,13,وَإِذَا لَقُواْ اُ۬لذِينَ ءَامَنُواْ قَالُوٓاْ ءَامَنَّاۖ وَإِذَا خَلَوِاْ اِلَىٰ شَيَٰطِينِهِمْ قَالُوٓاْ إِنَّا مَعَكُمُۥٓ إِنَّمَا نَحْنُ مُسْتَهْزِءُونَۖ,1,3
21,2,14,اَ۬للَّهُ يَسْتَهْزِۓُ بِهِمْ وَيَمُدُّهُمْ فِے طُغْيَٰنِهِمْ يَعْمَهُونَۖ,1,3
22,2,15,أُوْلَٰٓئِكَ اَ۬لذِينَ اَ۪شْتَرَوُاْ اُ۬لضَّلَٰلَةَ بِالْهُد۪ىٰ فَمَا رَبِحَت تِّجَٰرَتُهُمْ وَمَا كَانُواْ مُهْتَدِينَۖ,1,3
23,2,16,۞ مَثَلُهُمْ كَمَثَلِ اِ۬لذِے اِ۪سْتَوْقَدَ نَاراٗ فَلَمَّآ أَضَآءَتْ مَا حَوْلَهُۥۖ ذَهَبَ اَ۬للَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِے ظُلُمَٰتٖ لَّا يُبْصِرُونَۖ,1,4
24,2,17,صُمُّۢ بُكْمٌ عُمْيٞ فَهُمْ لَا يَرْجِعُونَۖ,1,4
25,2,18,أَوْ كَصَيِّبٖ مِّنَ اَ۬لسَّمَآءِ فِيهِ ظُلُمَٰتٞ وَرَعْدٞ وَبَرْقٞۖ يَجْعَلُونَ أَصَٰبِعَهُمْ فِےٓ ءَاذَانِهِم مِّنَ اَ۬لصَّوَٰعِقِ حَذَرَ اَ۬لْمَوْتِۖ وَاللَّهُ مُحِيطُۢ بِالْكٰ۪فِرِينَۖ,1,4
26,2,19,يَكَادُ اُ۬لْبَرْقُ يَخْطَفُ أَبْصَٰرَهُمْۖ كُلَّمَآ أَضَآءَ لَهُم مَّشَوْاْ فِيهِۖ وَإِذَآ أَظْلَمَ عَلَيْهِمْ قَامُواْۖ وَلَوْ شَآءَ اَ۬للَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصٰ۪رِهِمُۥٓۖ إِنَّ اَ۬للَّهَ عَلَىٰ كُلِّ شَےْءٖ قَدِيرٞۖ,1,4
27,2,20,يَٰٓأَيُّهَا اَ۬لنَّاسُ اُ۟عْبُدُواْ رَبَّكُمُ اُ۬لذِے خَلَقَكُمْ وَالذِينَ مِن قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَۖ,1,4
28,2,21,اَ۬لذِے جَعَلَ لَكُمُ اُ۬لَارْضَ فِرَٰشاٗ وَالسَّمَآءَ بِنَآءٗ وَأَنزَلَ مِنَ اَ۬لسَّمَآءِ مَآءٗ فَأَخْرَجَ بِهِۦ مِنَ اَ۬لثَّمَرَٰتِ رِزْقاٗ لَّكُمْۖ فَلَا تَجْعَلُواْ لِلهِ أَندَاداٗ وَأَنتُمْ تَعْلَمُونَۖ,1,4
29,2,22,وَإِن كُنتُمْ فِے رَيْبٖ مِّمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَاتُواْ بِسُورَةٖ مِّن مِّثْلِهِۦۖ وَادْعُواْ شُهَدَآءَكُم مِّن دُونِ اِ۬للَّهِ إِن كُنتُمْ صَٰدِقِينَۖ,1,4
30,2,23,فَإِن لَّمْ تَفْعَلُواْ وَلَن تَفْعَلُواْ فَاتَّقُواْ اُ۬لنَّارَ اَ۬لتِے وَقُودُهَا اَ۬لنَّاسُ وَالْحِجَارَةُۖ أُعِدَّتْ لِلْكٰ۪فِرِينَۖ,1,4
31,2,24,وَبَشِّرِ اِ۬لذِينَ ءَامَنُواْ وَعَمِلُواْ اُ۬لصَّٰلِحَٰتِ أَنَّ لَهُمْ جَنَّٰتٖ تَجْرِے مِن تَحْتِهَا اَ۬لَانْهَٰرُۖ كُلَّمَا رُزِقُواْ مِنْهَا مِن ثَمَرَةٖ رِّزْقاٗ قَالُواْ هَٰذَا اَ۬لذِے رُزِقْنَا مِن قَبْلُۖ وَأُتُواْ بِهِۦ مُتَشَٰبِهاٗۖ وَلَهُمْ فِيهَآ أَزْوَٰجٞ مُّطَهَّرَةٞۖ وَهُمْ فِيهَا خَٰلِدُونَۖ,1,5
32,2,25,۞ إِنَّ اَ۬للَّهَ لَا يَسْتَحْيِۦٓ أَنْ يَّضْرِبَ مَثَلاٗ مَّا بَعُوضَةٗ فَمَا فَوْقَهَاۖ فَأَمَّا اَ۬لذِينَ ءَامَنُواْ فَيَعْلَمُونَ أَنَّهُ اُ۬لْحَقُّ مِن رَّبِّهِمْۖ وَأَمَّا اَ۬لذِينَ كَفَرُواْ فَيَقُولُونَ مَاذَآ أَرَادَ اَ۬للَّهُ بِهَٰذَا مَثَلاٗۖ يُضِلُّ بِهِۦ كَثِيراٗ وَيَهْدِے بِهِۦ كَثِيراٗۖ وَمَا يُضِلُّ بِهِۦٓ إِلَّا اَ۬لْفَٰسِقِينَ,1,5
33,2,26,اَ۬لذِينَ يَنقُضُونَ عَهْدَ اَ۬للَّهِ مِنۢ بَعْدِ مِيثَٰقِهِۦ وَيَقْطَعُونَ مَآ أَمَرَ اَ۬للَّهُ بِهِۦٓ أَنْ يُّوصَلَ وَيُفْسِدُونَ فِے اِ۬لَارْضِۖ أُوْلَٰٓئِكَ هُمُ اُ۬لْخَٰسِرُونَۖ,1,5
34,2,27,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنتُمُۥٓ أَمْوَٰتاٗ فَأَحْي۪اكُمْ ثُمَّ يُمِيتُكُمْۖ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَۖ,1,5
35,2,28,هُوَ اَ۬لذِے خَلَقَ لَكُم مَّا فِے اِ۬لَارْضِ جَمِيعاٗۖ ثُمَّ اَ۪سْتَو۪ىٰٓ إِلَى اَ۬لسَّمَآءِ فَسَوّ۪يٰهُنَّ سَبْعَ سَمَٰوَٰتٖۖ وَهُوَ بِكُلِّ شَےْءٍ عَلِيمٞۖ,1,5
36,2,29,وَإِذْ قَالَ رَبُّكَ لِلْمَلَٰٓئِكَةِ إِنِّے جَاعِلٞ فِے اِ۬لَارْضِ خَلِيفَةٗۖ قَالُوٓاْ أَتَجْعَلُ فِيهَا مَنْ يُّفْسِدُ فِيهَا وَيَسْفِكُ اُ۬لدِّمَآءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَۖ قَالَ إِنِّيَ أَعْلَمُ مَا لَا تَعْلَمُونَۖ,1,6
37,2,30,وَعَلَّمَ ءَادَمَ اَ۬لَاسْمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى اَ۬لْمَلَٰٓئِكَةِ فَقَالَ أَنۢبِـُٔونِے بِأَسْمَآءِ هَٰٓؤُلَآءِ ان كُنتُمْ صَٰدِقِينَۖ,1,6
38,2,31,قَالُواْ سُبْحَٰنَكَ لَا عِلْمَ لَنَآ إِلَّا مَا عَلَّمْتَنَآ إِنَّكَ أَنتَ اَ۬لْعَلِيمُ اُ۬لْحَكِيمُۖ,1,6
39,2,32,قَالَ يَٰٓـَٔادَمُ أَنۢبِئْهُم بِأَسْمَآئِهِمْۖ فَلَمَّآ أَنۢبَأَهُم بِأَسْمَآئِهِمْ قَالَ أَلَمَ اَقُل لَّكُمُۥٓ إِنِّيَ أَعْلَمُ غَيْبَ اَ۬لسَّمَٰوَٰتِ وَالَارْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَۖ,1,6
40,2,33,۞ وَإِذْ قُلْنَا لِلْمَلَٰٓئِكَةِ اِ۟سْجُدُواْ لِأٓدَمَ فَسَجَدُوٓاْۖ إِلَّآ إِبْلِيسَ أَب۪ىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ اَ۬لْكٰ۪فِرِينَۖ,1,6
41,2,34,وَقُلْنَا يَٰٓـَٔادَمُ اُ۟سْكُنَ اَنتَ وَزَوْجُكَ اَ۬لْجَنَّةَ وَكُلَا مِنْهَا رَغَداً حَيْثُ شِئْتُمَاۖ وَلَا تَقْرَبَا هَٰذِهِ اِ۬لشَّجَرَةَ فَتَكُونَا مِنَ اَ۬لظَّٰلِمِينَۖ,1,6
42,2,35,فَأَزَلَّهُمَا اَ۬لشَّيْطَٰنُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِۖ وَقُلْنَا اَ۪هْبِطُواْۖ بَعْضُكُمْ لِبَعْضٍ عَدُوّٞۖ وَلَكُمْ فِے اِ۬لَارْضِ مُسْتَقَرّٞ وَمَتَٰعٌ اِلَىٰ حِينٖۖ,1,6
43,2,36,فَتَلَقّ۪ىٰٓ ءَادَمُ مِن رَّبِّهِۦ كَلِمَٰتٖ فَتَابَ عَلَيْهِۖ إِنَّهُۥ هُوَ اَ۬لتَّوَّابُ اُ۬لرَّحِيمُۖ,1,6
44,2,37,قُلْنَا اَ۪هْبِطُواْ مِنْهَا جَمِيعاٗۖ فَإِمَّا يَاتِيَنَّكُم مِّنِّے هُدىٗ فَمَن تَبِعَ هُد۪ايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَۖ,1,7
45,2,38,وَالذِينَ كَفَرُواْ وَكَذَّبُواْ بِـَٔايَٰتِنَآ أُوْلَٰٓئِكَ أَصْحَٰبُ اُ۬لنّ۪ارِ هُمْ فِيهَا خَٰلِدُونَۖ,1,7
46,2,39,يَٰبَنِےٓ إِسْرَآءِيلَ اَ۟ذْكُرُواْ نِعْمَتِيَ اَ۬لتِےٓ أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُواْ بِعَهْدِےٓ أُوفِ بِعَهْدِكُمْ وَإِيَّٰيَ فَارْهَبُونِۖ,1,7
47,2,40,وَءَامِنُواْ بِمَآ أَنزَلْتُ مُصَدِّقاٗ لِّمَا مَعَكُمْ وَلَا تَكُونُوٓاْ أَوَّلَ كَافِرِۢ بِهِۦۖ وَلَا تَشْتَرُواْ بِـَٔايَٰتِے ثَمَناٗ قَلِيلاٗ وَإِيَّٰيَ فَاتَّقُونِۖ,1,7
48,2,41,۞ وَلَا تَلْبِسُواْ اُ۬لْحَقَّ بِالْبَٰطِلِ وَتَكْتُمُواْ اُ۬لْحَقَّ وَأَنتُمْ تَعْلَمُونَۖ,1,7
49,2,42,وَأَقِيمُواْ اُ۬لصَّلَوٰةَ وَءَاتُواْ اُ۬لزَّكَوٰةَۖ وَارْكَعُواْ مَعَ اَ۬لرَّٰكِعِينَۖ,1,7
50,2,43,أَتَامُرُونَ اَ۬لنَّاسَ بِالْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ اَ۬لْكِتَٰبَۖ أَفَلَا تَعْقِلُونَۖ,1,7
51,2,44,وَاسْتَعِينُواْ بِالصَّبْرِ وَالصَّلَوٰةِۖ وَإِنَّهَا لَكَبِيرَةٌ اِلَّا عَلَى اَ۬لْخَٰشِعِينَ,1,7
52,2,45,اَ۬لذِينَ يَظُنُّونَ أَنَّهُم مُّلَٰقُواْ رَبِّهِمْ وَأَنَّهُمُۥٓ إِلَيْهِ رَٰجِعُونَۖ,1,7
53,2,46,يَٰبَنِےٓ إِسْرَآءِيلَ اَ۟ذْكُرُواْ نِعْمَتِيَ اَ۬لتِےٓ أَنْعَمْتُ عَلَيْكُمْ وَأَنِّے فَضَّلْتُكُمْ عَلَى اَ۬لْعَٰلَمِينَۖ,1,7
54,2,47,وَاتَّقُواْ يَوْماٗ لَّا تَجْزِے نَفْسٌ عَن نَّفْسٖ شَئْاٗ وَلَا يُقْبَلُ مِنْهَا شَفَٰعَةٞ وَلَا يُوخَذُ مِنْهَا عَدْلٞ وَلَا هُمْ يُنصَرُونَۖ,1,7
55,2,48,وَإِذْ نَجَّيْنَٰكُم مِّنَ اٰلِ فِرْعَوْنَ يَسُومُونَكُمْ سُوٓءَ اَ۬لْعَذَابِ يُذَبِّحُونَ أَبْنَآءَكُمْ وَيَسْتَحْيُونَ نِسَآءَكُمْۖ وَفِے ذَٰلِكُم بَلَآءٞ مِّن رَّبِّكُمْ عَظِيمٞۖ,1,8
56,2,49,وَإِذْ فَرَقْنَا بِكُمُ اُ۬لْبَحْرَ فَأَنجَيْنَٰكُمْ وَأَغْرَقْنَآ ءَالَ فِرْعَوْنَ وَأَنتُمْ تَنظُرُونَۖ,1,8
57,2,50,وَإِذْ وَٰعَدْنَا مُوس۪ىٰٓ أَرْبَعِينَ لَيْلَةٗ ثُمَّ اَ۪تَّخَذتُّمُ اُ۬لْعِجْلَ مِنۢ بَعْدِهِۦ وَأَنتُمْ ظَٰلِمُونَۖ,1,8
58,2,51,ثُمَّ عَفَوْنَا عَنكُم مِّنۢ بَعْدِ ذَٰلِكَ لَعَلَّكُمْ تَشْكُرُونَۖ,1,8
59,2,52,وَإِذَ اٰتَيْنَا مُوسَى اَ۬لْكِتَٰبَۖ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَۖ,1,8
60,2,53,۞ وَإِذْ قَالَ مُوس۪ىٰ لِقَوْمِهِۦ يَٰقَوْمِ إِنَّكُمْ ظَلَمْتُمُۥٓ أَنفُسَكُم بِاتِّخَاذِكُمُ اُ۬لْعِجْلَ فَتُوبُوٓاْ إِلَىٰ بَارِئِكُمْ فَاقْتُلُوٓاْ أَنفُسَكُمْۖ ذَٰلِكُمْ خَيْرٞ لَّكُمْ عِندَ بَارِئِكُمْۖ فَتَابَ عَلَيْكُمُۥٓۖ إِنَّهُۥ هُوَ اَ۬لتَّوَّابُ اُ۬لرَّحِيمُۖ,1,8
61,2,54,وَإِذْ قُلْتُمْ يَٰمُوس۪ىٰ لَن نُّومِنَ لَكَ حَتَّىٰ نَرَى اَ۬للَّهَ جَهْرَةٗ فَأَخَذَتْكُمُ اُ۬لصَّٰعِقَةُ وَأَنتُمْ تَنظُرُونَۖ,1,8
62,2,55,ثُمَّ بَعَثْنَٰكُم مِّنۢ بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُونَۖ,1,8
63,2,56,وَظَلَّلْنَا عَلَيْكُمُ اُ۬لْغَمَٰمَ وَأَنزَلْنَا عَلَيْكُمُ اُ۬لْمَنَّ وَالسَّلْو۪ىٰۖ كُلُواْ مِن طَيِّبَٰتِ مَا رَزَقْنَٰكُمْۖ وَمَا ظَلَمُونَاۖ وَلَٰكِن كَانُوٓاْ أَنفُسَهُمْ يَظْلِمُونَۖ,1,8
64,2,57,وَإِذْ قُلْنَا اَ۟دْخُلُواْ هَٰذِهِ اِ۬لْقَرْيَةَ فَكُلُواْ مِنْهَا حَيْثُ شِئْتُمْ رَغَداٗ وَادْخُلُواْ اُ۬لْبَابَ سُجَّداٗ وَقُولُواْ حِطَّةٞ يُغْفَرْ لَكُمْ خَطَٰيٰ۪كُمْۖ وَسَنَزِيدُ اُ۬لْمُحْسِنِينَۖ,1,9
65,2,58,فَبَدَّلَ اَ۬لذِينَ ظَلَمُواْ قَوْلاً غَيْرَ اَ۬لذِے قِيلَ لَهُمْ فَأَنزَلْنَا عَلَى اَ۬لذِينَ ظَلَمُواْ رِجْزاٗ مِّنَ اَ۬لسَّمَآءِ بِمَا كَانُواْ يَفْسُقُونَۖ,1,9
66,2,59,۞ وَإِذِ اِ۪سْتَسْق۪ىٰ مُوس۪ىٰ لِقَوْمِهِۦ فَقُلْنَا اَ۪ضْرِب بِّعَصَاكَ اَ۬لْحَجَرَۖ فَانفَجَرَتْ مِنْهُ اُ۪ثْنَتَا عَشْرَةَ عَيْناٗۖ قَدْ عَلِمَ كُلُّ أُنَاسٖ مَّشْرَبَهُمْۖ كُلُواْ وَاشْرَبُواْ مِن رِّزْقِ اِ۬للَّهِۖ وَلَا تَعْثَوْاْ فِے اِ۬لَارْضِ مُفْسِدِينَۖ,1,9
67,2,60,وَإِذْ قُلْتُمْ يَٰمُوس۪ىٰ لَن نَّصْبِرَ عَلَىٰ طَعَامٖ وَٰحِدٖ فَادْعُ لَنَا رَبَّكَ يُخْرِجْ لَنَا مِمَّا تُنۢبِتُ اُ۬لَارْضُ مِنۢ بَقْلِهَا وَقِثَّآئِهَا وَفُومِهَا وَعَدَسِهَا وَبَصَلِهَاۖ قَالَ أَتَسْتَبْدِلُونَ اَ۬لذِے هُوَ أَدْن۪ىٰ بِالذِے هُوَ خَيْرٌۖ اِ۪هْبِطُواْ مِصْراٗ فَإِنَّ لَكُم مَّا سَأَلْتُمْۖ وَضُرِبَتْ عَلَيْهِمُ اُ۬لذِّلَّةُ وَالْمَسْكَنَةُ وَبَآءُو بِغَضَبٖ مِّنَ اَ۬للَّهِۖ ذَٰلِكَ بِأَنَّهُمْ كَانُواْ يَكْفُرُونَ بِـَٔايَٰتِ اِ۬للَّهِ وَيَقْتُلُونَ اَ۬لنَّبِيٓـِٕۧنَ بِغَيْرِ اِ۬لْحَقِّۖ ذَٰلِكَ بِمَا عَصَواْ وَّكَانُواْ يَعْتَدُونَۖ,1,9
68,2,61,إِنَّ اَ۬لذِينَ ءَامَنُواْ وَالذِينَ هَادُواْ وَالنَّصَٰر۪ىٰ وَالصَّٰبِينَ مَنَ اٰمَنَ بِاللَّهِ وَالْيَوْمِ اِ۬لَاخِرِ وَعَمِلَ صَٰلِحاٗ فَلَهُمُۥٓ أَجْرُهُمْ عِندَ رَبِّهِمْ وَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَۖ,1,10
69,2,62,وَإِذَ اَخَذْنَا مِيثَٰقَكُمْ وَرَفَعْنَا فَوْقَكُمُ اُ۬لطُّورَۖ خُذُواْ مَآ ءَاتَيْنَٰكُم بِقُوَّةٖ وَاذْكُرُواْ مَا فِيهِ لَعَلَّكُمْ تَتَّقُونَۖ,1,10
70,2,63,ثُمَّ تَوَلَّيْتُم مِّنۢ بَعْدِ ذَٰلِكَۖ فَلَوْلَا فَضْلُ اُ۬للَّهِ عَلَيْكُمْ وَرَحْمَتُهُۥ لَكُنتُم مِّنَ اَ۬لْخَٰسِرِينَۖ,1,10
71,2,64,وَلَقَدْ عَلِمْتُمُ اُ۬لذِينَ اَ۪عْتَدَوْاْ مِنكُمْ فِے اِ۬لسَّبْتِ فَقُلْنَا لَهُمْ كُونُواْ قِرَدَةً خَٰسِـِٕينَۖ,1,10
72,2,65,فَجَعَلْنَٰهَا نَكَٰلاٗ لِّمَا بَيْنَ يَدَيْهَا وَمَا خَلْفَهَا وَمَوْعِظَةٗ لِّلْمُتَّقِينَۖ,1,10
73,2,66,۞ وَإِذْ قَالَ مُوس۪ىٰ لِقَوْمِهِۦٓ إِنَّ اَ۬للَّهَ يَامُرُكُمُۥٓ أَن تَذْبَحُواْ بَقَرَةٗۖ قَالُوٓاْ أَتَتَّخِذُنَا هُزُؤاٗۖ قَالَ أَعُوذُ بِاللَّهِ أَنَ اَكُونَ مِنَ اَ۬لْجَٰهِلِينَۖ,1,10
74,2,67,قَالُواْ اُ۟دْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِيَۖ قَالَ إِنَّهُۥ يَقُولُ إِنَّهَا بَقَرَةٞ لَّا فَارِضٞ وَلَا بِكْرٌۖ عَوَانُۢ بَيْنَ ذَٰلِكَۖ فَافْعَلُواْ مَا تُومَرُونَۖ,1,10
75,2,68,قَالُواْ اُ۟دْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا لَوْنُهَاۖ قَالَ إِنَّهُۥ يَقُولُ إِنَّهَا بَقَرَةٞ صَفْرَآءُ فَاقِعٞ لَّوْنُهَاۖ تَسُرُّ اُ۬لنَّٰظِرِينَۖ,1,10
76,2,69,قَالُواْ اُ۟دْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِيَ إِنَّ اَ۬لْبَقَرَ تَشَٰبَهَ عَلَيْنَا وَإِنَّآ إِن شَآءَ اَ۬للَّهُ لَمُهْتَدُونَۖ,1,11
77,2,70,قَالَ إِنَّهُۥ يَقُولُ إِنَّهَا بَقَرَةٞ لَّا ذَلُولٞ تُثِيرُ اُ۬لَارْضَ وَلَا تَسْقِے اِ۬لْحَرْثَۖ مُسَلَّمَةٞ لَّا شِيَةَ فِيهَاۖ قَالُواْ اُ۬لَٰنَ جِئْتَ بِالْحَقِّۖ فَذَبَحُوهَا وَمَا كَادُواْ يَفْعَلُونَۖ,1,11
78,2,71,وَإِذْ قَتَلْتُمْ نَفْساٗ فَادَّٰرَٰءْتُمْ فِيهَاۖ وَاللَّهُ مُخْرِجٞ مَّا كُنتُمْ تَكْتُمُونَۖ,1,11
79,2,72,فَقُلْنَا اَ۪ضْرِبُوهُ بِبَعْضِهَاۖ كَذَٰلِكَ يُحْيِ اِ۬للَّهُ اُ۬لْمَوْت۪ىٰ وَيُرِيكُمُۥٓ ءَايَٰتِهِۦ لَعَلَّكُمْ تَعْقِلُونَۖ,1,11
80,2,73,ثُمَّ قَسَتْ قُلُوبُكُم مِّنۢ بَعْدِ ذَٰلِكَ فَهِيَ كَالْحِجَارَةِ أَوَ اَشَدُّ قَسْوَةٗۖ وَإِنَّ مِنَ اَ۬لْحِجَارَةِ لَمَا يَتَفَجَّرُ مِنْهُ اُ۬لَانْهَٰرُۖ وَإِنَّ مِنْهَا لَمَا يَشَّقَّقُ فَيَخْرُجُ مِنْهُ اُ۬لْمَآءُۖ وَإِنَّ مِنْهَا لَمَا يَهْبِطُ مِنْ خَشْيَةِ اِ۬للَّهِۖ وَمَا اَ۬للَّهُ بِغَٰفِلٍ عَمَّا تَعْمَلُونَۖ,1,11
81,2,74,أَفَتَطْمَعُونَ أَنْ يُّومِنُواْ لَكُمْ وَقَدْ كَانَ فَرِيقٞ مِّنْهُمْ يَسْمَعُونَ كَلَٰمَ اَ۬للَّهِ ثُمَّ يُحَرِّفُونَهُۥ مِنۢ بَعْدِ مَا عَقَلُوهُ وَهُمْ يَعْلَمُونَۖ,1,11
82,2,75,۞ وَإِذَا لَقُواْ اُ۬لذِينَ ءَامَنُواْ قَالُوٓاْ ءَامَنَّاۖ وَإِذَا خَلَا بَعْضُهُمُۥٓ إِلَىٰ بَعْضٖ قَالُوٓاْ أَتُحَدِّثُونَهُم بِمَا فَتَحَ اَ۬للَّهُ عَلَيْكُمْ لِيُحَآجُّوكُم بِهِۦ عِندَ رَبِّكُمُۥٓۖ أَفَلَا تَعْقِلُونَۖ,1,11
83,2,76,أَوَلَا يَعْلَمُونَ أَنَّ اَ۬للَّهَ يَعْلَمُ مَا يُسِرُّونَ وَمَا يُعْلِنُونَۖ,1,12
84,2,77,وَمِنْهُمُۥٓ أُمِّيُّونَ لَا يَعْلَمُونَ اَ۬لْكِتَٰبَ إِلَّآ أَمَانِيَّۖ وَإِنْ هُمُۥٓ إِلَّا يَظُنُّونَۖ,1,12
85,2,78,فَوَيْلٞ لِّلذِينَ يَكْتُبُونَ اَ۬لْكِتَٰبَ بِأَيْدِيهِمْ ثُمَّ يَقُولُونَ هَٰذَا مِنْ عِندِ اِ۬للَّهِ لِيَشْتَرُواْ بِهِۦ ثَمَناٗ قَلِيلاٗۖ فَوَيْلٞ لَّهُم مِّمَّا كَتَبَتَ اَيْدِيهِمْۖ وَوَيْلٞ لَّهُم مِّمَّا يَكْسِبُونَۖ,1,12
86,2,79,وَقَالُواْ لَن تَمَسَّنَا اَ۬لنَّارُ إِلَّآ أَيَّاماٗ مَّعْدُودَةٗۖ قُلَ اَتَّخَذتُّمْ عِندَ اَ۬للَّهِ عَهْداٗ فَلَنْ يُّخْلِفَ اَ۬للَّهُ عَهْدَهُۥٓۖ أَمْ تَقُولُونَ عَلَى اَ۬للَّهِ مَا لَا تَعْلَمُونَۖ,1,12
87,2,80,بَل۪ىٰ مَن كَسَبَ سَيِّئَةٗ وَأَحَٰطَتْ بِهِۦ خَطِيٓـَٰٔتُهُۥ فَأُوْلَٰٓئِكَ أَصْحَٰبُ اُ۬لنّ۪ارِ هُمْ فِيهَا خَٰلِدُونَۖ,1,12
88,2,81,وَالذِينَ ءَامَنُواْ وَعَمِلُواْ اُ۬لصَّٰلِحَٰتِ أُوْلَٰٓئِكَ أَصْحَٰبُ اُ۬لْجَنَّةِ هُمْ فِيهَا خَٰلِدُونَۖ,1,12
