sura_id,ayah_index,ayah_text,model_text,start_time,end_time,similarity_score,status,notes
74,20,ثُمَّ قُتِلَ كَيۡفَ قَدَّرَ,ثُمَّ قُتِلَ كَيْفَ قَدَّرَ,77.84,80.79,0.963,Success,
74,21,ثُمَّ نَظَرَ,ثُمَّ نَظَرَ,81.68,83.14,1.0,Success,
74,22,ثُمَّ عَبَسَ وَبَسَرَ,ثُمَّ عَبَسَ وَبَسَ,83.9,86.27,0.95,Success,
74,23,ثُمَّ أَدۡبَرَ وَٱسۡتَكۡبَرَ,ثُمَّ أَدْبَرَ وَاسْتَكْبَرَ,87.11,89.82,0.857,Success,
74,24,فَقَالَ إِنۡ هَٰذَآ إِلَّا سِحۡرٞ يُؤۡثَرُ,فَقَالَ إِنْ هَذَا إِلَّا سِحْرٌ يُؤْثَرُ,90.86,96.47,0.881,Success,
74,25,إِنۡ هَٰذَآ إِلَّا قَوۡلُ ٱلۡبَشَرِ,إِنْ هَذَا إِلَّا قَوْلُ الْبَشَرِ,97.36,101.19,0.857,Success,
74,26,سَأُصۡلِيهِ سَقَرَ,سَأُصْلِيهِ سَقَرَ,101.95,103.59,0.944,Success,
74,27,وَمَآ أَدۡرَىٰكَ مَا سَقَرُ,وَمَا أَدْرَاكَ مَا سَقَرُ,104.54,107.54,0.889,Success,
74,28,لَا تُبۡقِي وَلَا تَذَرُ,لَا تُبْقِي وَلَا تَذَرُ,108.32,110.74,0.958,Success,
74,29,لَوَّاحَةٞ لِّلۡبَشَرِ,لَوَّاحَةٌ لِلْبَشَرِ,111.43,113.7,0.884,Success,
74,30,عَلَيۡهَا تِسۡعَةَ عَشَرَ,عَلَيْهَا تِسْعَةَ عَشَرَ,114.38,116.63,0.92,Success,
74,31,وَمَا جَعَلۡنَآ أَصۡحَٰبَ ٱلنَّارِ إِلَّا مَلَٰٓئِكَةٗۖ وَمَا جَعَلۡنَا عِدَّتَهُمۡ إِلَّا فِتۡنَةٗ لِّلَّذِينَ كَفَرُواْ لِيَسۡتَيۡقِنَ ٱلَّذِينَ أُوتُواْ ٱلۡكِتَٰبَ وَيَزۡدَادَ ٱلَّذِينَ ءَامَنُوٓاْ إِيمَٰنٗا وَلَا يَرۡتَابَ ٱلَّذِينَ أُوتُواْ ٱلۡكِتَٰبَ وَٱلۡمُؤۡمِنُونَ وَلِيَقُولَ ٱلَّذِينَ فِي قُلُوبِهِم مَّرَضٞ وَٱلۡكَٰفِرُونَ مَاذَآ أَرَادَ ٱللَّهُ بِهَٰذَا مَثَلٗاۚ كَذَٰلِكَ يُضِلُّ ٱللَّهُ مَن يَشَآءُ وَيَهۡدِي مَن يَشَآءُۚ وَمَا يَعۡلَمُ جُنُودَ رَبِّكَ إِلَّا هُوَۚ وَمَا هِيَ إِلَّا ذِكۡرَىٰ لِلۡبَشَرِ,وَمَا جَعَلْنَا أَصْحَابَ النَّارِ إِلَّا مَلَائِكَةً عِدَّتَهُمْ فِتْنَةً لِلَّذِينَ كَفَرُوا لِيَسْتَيْقِنَا الَّذِينَ أُوتُوا الْكِتَابَ وَيَزْدَادَ آمَنُوا إِيمَانًا وَلَا يَرْتَابَ وَالْمُؤْمِنُونَ وَلِيَقُولَ فِي قُلُوبِهِمْ مَرَضٌ وَالْكَافِرُونَ مَاذَا أَرَادَ اللَّهُ بِهَذَا مَثَلًا كَذَلِكَ يُضِلُّ مَنْ يَشَاءُ وَيَهْدِي يَعْلَمُ جُنُودَ رَبِّكَ هُوَ هِيَ ذِكْرَى لِلْبَشَرِ وَالْقَمَرِ وَاللَّيْلِ إِذْ أَدْبَرَ وَالصُّبْحِ إِذَا أَسْفَرَ إِنَّهَا لَإِحْدَى الْكُبَرِ نَذِيرًا لِمَنْ شَاءَ مِنْكُمْ أَنْ يَتَقَدَّمَ أَوْ يَتَأَخَّرَ كُلُّ نَفْسٍ بِمَا كَسَبَتْ رَهِينَةٌ الْيَمِينِ جَنَّاتٍ يَتَسَاءَلُونَ عَنِ الْمُجْرِمِينَ مَا سَلَكَكُمْ سَقَرَ قَالُوا لَمْ نَكُ مِنَ الْمُصَلِّينَ وَلَمْ نُطْعِمُ الْمِسْكِينَ وَكُنَّا نَخُوضُ مَعَ الْخَائِضِينَ نُكَذِّبُ بِيَوْمِ الدِّينِ حَتَّى أَتَانَا الْيَقِينُ فَمَا تَنْفَعُهُمْ شَفَاعَةُ الشَّافِعِينَ لَهُمْ التَّذْكِرَةِ مُعْرِضِينَ كَأَنَّهُمْ حُمُرٌ مُسْتَنْفِرَةٌ فَرَّتْ مِنْ قَسْوَرَةٍ بَلْ يُرِيدُ امْرِئٍ مِنْهُمْ فَيَا صُحُفًا مُنَشَّرَةً كَلَّا أَلَّا يَخَافُونَ الْآخِرَةَ إِنَّهُ تَذْكِرَةٌ فَمَنْ ذَكَرَهُ يَذْكُرُونَ يَشَاءَ وَأَهْلُ التَّقْوَى الْمَغْفِرَةِ,117.68,317.84,0.069,Fail,End of segments
74,32,كـَلَّا وَٱلۡقَمَرِ,,0,0,0,Fail,No match found
74,33,وَٱلَّيۡلِ إِذۡ أَدۡبَرَ,,0,0,0,Fail,No match found
74,34,وَٱلصُّبۡحِ إِذَآ أَسۡفَرَ,,0,0,0,Fail,No match found
74,35,إِنَّهَا لَإِحۡدَى ٱلۡكُبَرِ,,0,0,0,Fail,No match found
74,36,نَذِيرٗا لِّلۡبَشَرِ,,0,0,0,Fail,No match found
74,37,لِمَن شَآءَ مِنكُمۡ أَن يَتَقَدَّمَ أَوۡ يَتَأَخَّرَ,,0,0,0,Fail,No match found
74,38,كُلُّ نَفۡسِۭ بِمَا كَسَبَتۡ رَهِينَةٌ,,0,0,0,Fail,No match found
74,39,إِلَّآ أَصۡحَٰبَ ٱلۡيَمِينِ,,0,0,0,Fail,No match found
74,40,فِي جَنَّٰتٖ يَتَسَآءَلُونَ,,0,0,0,Fail,No match found
74,41,عَنِ ٱلۡمُجۡرِمِينَ,,0,0,0,Fail,No match found
74,42,مَا سَلَكَكُمۡ فِي سَقَرَ,,0,0,0,Fail,No match found
74,43,قَالُواْ لَمۡ نَكُ مِنَ ٱلۡمُصَلِّينَ,,0,0,0,Fail,No match found
74,44,وَلَمۡ نَكُ نُطۡعِمُ ٱلۡمِسۡكِينَ,,0,0,0,Fail,No match found
74,45,وَكُنَّا نَخُوضُ مَعَ ٱلۡخَآئِضِينَ,,0,0,0,Fail,No match found
74,46,وَكُنَّا نُكَذِّبُ بِيَوۡمِ ٱلدِّينِ,,0,0,0,Fail,No match found
74,47,حَتَّىٰٓ أَتَىٰنَا ٱلۡيَقِينُ,,0,0,0,Fail,No match found
74,48,فَمَا تَنفَعُهُمۡ شَفَٰعَةُ ٱلشَّٰفِعِينَ,,0,0,0,Fail,No match found
74,49,فَمَا لَهُمۡ عَنِ ٱلتَّذۡكِرَةِ مُعۡرِضِينَ,,0,0,0,Fail,No match found
74,50,كَأَنَّهُمۡ حُمُرٞ مُّسۡتَنفِرَةٞ,,0,0,0,Fail,No match found
74,51,فَرَّتۡ مِن قَسۡوَرَةِۭ,,0,0,0,Fail,No match found
74,52,بَلۡ يُرِيدُ كُلُّ ٱمۡرِيٕٖ مِّنۡهُمۡ أَن يُؤۡتَىٰ صُحُفٗا مُّنَشَّرَةٗ,,0,0,0,Fail,No match found
74,53,كـَلَّاۖ بَل لَّا يَخَافُونَ ٱلۡأٓخِرَةَ,,0,0,0,Fail,No match found
74,54,كـَلَّآ إِنَّهُۥ تَذۡكِرَةٞ,,0,0,0,Fail,No match found
74,55,فَمَن شَآءَ ذَكَرَهُۥ,,0,0,0,Fail,No match found
74,56,وَمَا يَذۡكُرُونَ إِلَّآ أَن يَشَآءَ ٱللَّهُۚ هُوَ أَهۡلُ ٱلتَّقۡوَىٰ وَأَهۡلُ ٱلۡمَغۡفِرَةِ,,0,0,0,Fail,No match found
